title_Chinese	n_title	year	id	image
超人3	Superman III	1983	tt0086393	https://imdb-api.com/images/original/MV5BMzI3ZDllMTctNmI2Mi00OGQ4LTk2ZTQtYTJhMjA5ZGI2YmRkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_Ratio0.7273_AL_.jpg
超人2	Superman II	1980	tt0081573	https://imdb-api.com/images/original/MV5BODk2NjgzNTEtYzZhZC00ZTBkLTllMGQtMmMxMzU1NDRkM2RlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_Ratio0.7273_AL_.jpg
超人	Superman	1978	tt0078346	https://imdb-api.com/images/original/MV5BMzA0YWMwMTUtMTVhNC00NjRkLWE2ZTgtOWEzNjJhYzNiMTlkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_Ratio0.7273_AL_.jpg
移魂都市	Dark City	1998	tt0118929	https://imdb-api.com/images/original/MV5BMGExOGExM2UtNWM5ZS00OWEzLTllNzYtM2NlMTJlYjBlZTJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
勇敢者游戏：决战丛林	Jumanji: Welcome to the Jungle	2017	tt2283362	https://imdb-api.com/images/original/MV5BODQ0NDhjYWItYTMxZi00NTk2LWIzNDEtOWZiYWYxZjc2MTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
环太平洋：雷霆再起	Pacific Rim: Uprising	2018	tt2557478	https://imdb-api.com/images/original/MV5BMjI3Nzg0MTM5NF5BMl5BanBnXkFtZTgwOTE2MTgwNTM@._V1_Ratio0.7273_AL_.jpg
克隆人	Replicas	2018	tt4154916	https://imdb-api.com/images/original/MV5BZGQxYTZlYzQtNjk3NS00MjVhLTkxZTYtMDk2ODlkMGJkYzBhXkEyXkFqcGdeQXVyMTk5MzE1MTY@._V1_Ratio0.7273_AL_.jpg
蒙上你的眼	Bird Box	2018	tt2737304	https://imdb-api.com/images/original/MV5BMjAzMTI1MjMyN15BMl5BanBnXkFtZTgwNzU5MTE2NjM@._V1_Ratio0.7273_AL_.jpg
掠食城市	Mortal Engines	2018	tt1571234	https://imdb-api.com/images/original/MV5BNzY1MDA2OTQ0N15BMl5BanBnXkFtZTgwMTkzNjU2NTM@._V1_Ratio0.7273_AL_.jpg
头号玩家	Ready Player One	2018	tt1677720	https://imdb-api.com/images/original/MV5BY2JiYTNmZTctYTQ1OC00YjU4LWEwMjYtZjkwY2Y5MDI0OTU3XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_Ratio0.7273_AL_.jpg
风之谷	Nausicaä of the Valley of the Wind	1984	tt0087544	https://imdb-api.com/images/original/MV5BZTI3NmJmYTQtNDg4NS00M2VlLTgzZDAtZWIwZDcyOWY5YzIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.7273_AL_.jpg
最终幻想7：圣子降临	ファイナルファンタジーⅦ アドベントチルドレン	2005	erro	erro
魔神Z 劇場版	Mazinger Z vs. Devilman	2017	tt0299017	https://imdb-api.com/images/original/MV5BYmE2ZTdkNzEtNGEzMi00OTA0LTg0NTYtNzhiZjg5ZTZjYWJkXkEyXkFqcGdeQXVyMTA3NTQwNDU4._V1_Ratio0.7273_AL_.jpg
极乐空间	Elysium	2013	tt1535108	https://imdb-api.com/images/original/MV5BNDc2NjU0MTcwNV5BMl5BanBnXkFtZTcwMjg4MDg2OQ@@._V1_Ratio0.7273_AL_.jpg
分歧者：异类觉醒	Divergent	2014	tt1840309	https://imdb-api.com/images/original/MV5BMTYxMzYwODE4OV5BMl5BanBnXkFtZTgwNDE5MzE2MDE@._V1_Ratio0.7273_AL_.jpg
分歧者2：绝地反击	The Divergent Series: Insurgent	2015	tt2908446	https://imdb-api.com/images/original/MV5BMTgxOTYxMTg3OF5BMl5BanBnXkFtZTgwMDgyMzA2NDE@._V1_Ratio0.7273_AL_.jpg
饥饿游戏3：嘲笑鸟(上)	The Hunger Games: Mockingjay - Part 1	2014	tt1951265	https://imdb-api.com/images/original/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_Ratio0.7273_AL_.jpg
饥饿游戏3：嘲笑鸟(下)	The Hunger Games: Mockingjay - Part 2	2015	tt1951266	https://imdb-api.com/images/original/MV5BNjQzNDI2NTU1Ml5BMl5BanBnXkFtZTgwNTAyMDQ5NjE@._V1_Ratio0.7273_AL_.jpg
移动迷宫3：死亡解药	Maze Runner: The Death Cure	2018	tt4500922	https://imdb-api.com/images/original/MV5BMTYyNzk3MDc2NF5BMl5BanBnXkFtZTgwMDk3OTM1NDM@._V1_Ratio0.7273_AL_.jpg
移动迷宫2	Maze Runner: The Scorch Trials	2015	tt4046784	https://imdb-api.com/images/original/MV5BMjE3MDU2NzQyMl5BMl5BanBnXkFtZTgwMzQxMDQ3NTE@._V1_Ratio0.7273_AL_.jpg
移动迷宫	The Maze Runner	2014	tt1790864	https://imdb-api.com/images/original/MV5BMjUyNTA3MTAyM15BMl5BanBnXkFtZTgwOTEyMTkyMjE@._V1_Ratio0.7273_AL_.jpg
人类清除计划3	The Purge: Election Year	2016	tt4094724	https://imdb-api.com/images/original/MV5BMjI3MDI0MTA1N15BMl5BanBnXkFtZTgwOTk4NjU5ODE@._V1_Ratio0.7273_AL_.jpg
人类清除计划4	The First Purge	2018	tt6133466	https://imdb-api.com/images/original/MV5BYmVjMWJhMTYtMzUxMC00ODdhLTk3YzMtZDFhNGUyOGFhYTY0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_Ratio0.7273_AL_.jpg
人类清除计划	The Purge	2013	tt2184339	https://imdb-api.com/images/original/MV5BMTQzNTcwODEyM15BMl5BanBnXkFtZTcwMjM1MDI0OQ@@._V1_Ratio0.7273_AL_.jpg
人类清除计划2：无政府状态	The Purge: Anarchy	2014	tt2975578	https://imdb-api.com/images/original/MV5BMjE2ODMxMTk1Nl5BMl5BanBnXkFtZTgwMDEzNjEzMTE@._V1_Ratio0.7273_AL_.jpg
十二猴子	12 Monkeys	1995	tt0114746	https://imdb-api.com/images/original/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
